السؤال,الجواب,الكلمة المفتاحية,التصنيف
كم تبلغ علاوة السفر الخارجي للفئة الرابعة والخامسة في دول الفئة (أ)؟,تبلغ علاوة السفر الخارجي للفئة الرابعة والخامسة في دول الفئة (أ) 90 دينار لكل ليلة ,علاوة الفئة الرابعة والخامسة، السفر الخارجي,مالي
كم ساعة تُحسب للطالب في حال الانتقال من جامعة أخرى؟,تُحسب بناءً على معادلة الأقسام الأكاديمية بحد أقصى 60 ساعة ,ساعات معتمدة، انتقال,الانتقال
كم ساعة دراسية يُسمح للطالب بدراستها في الفصل الصيفي؟,الحد الأقصى    ساعة معتمدة ,فصل صيفي، ساعات معتمدة,الدراسة
كم ساعة معتمدة يجب أن يُنهيها الطالب المنتظم قبل التخرج؟,جميع الساعات المطلوبة حسب الخطة الدراسية مع معدل تراكمي لا يقل عن   0 ,ساعات معتمدة، تخرج,التخرج
كم عدد أعضاء مجلس المركز العلمي؟,يتكون مجلس المركز العلمي من عدد لا يزيد عن خمسة أعضاء يتم تعيينهم من قبل رئيس الجامعة لمدة سنتين قابلة للتجديد ,مجلس المركز العلمي,الأنظمة واللوائح
كم عدد الأعضاء الذين يتكون منهم مجلس البحث العلمي؟, 0 أعضاء (8 من هيئة التدريس،   من خارج الجامعة),أعضاء المجلس,معلومات عامة
كم عدد الأعضاء الذين يمثلون كليات الجامعة في مجلس البحث العلمي؟,ثمانية أعضاء,أعضاء المجلس,معلومات عامة
كم عدد الأعضاء الذين يمثلون كليات الجامعة في مجلس البحث العلمي؟,ثمانية أعضاء من هيئة التدريس,أعضاء المجلس,معلومات عامة
كم عدد الرسائل التي يمكن للمشرف الإشراف عليها إذا كان أستاذًا مساعدًا؟,إذا كان المشرف أستاذًا مساعدًا، يمكنه الإشراف على رسالتين كحد أقصى في نفس الوقت ,إشراف أستاذ مساعد,الإشراف
كم عدد الرسائل التي يمكن للمشرف الإشراف عليها في وقت واحد؟,يمكن للمشرف الإشراف على 6 رسائل إذا كان أستاذًا أو أستاذًا مشاركًا، و3 رسائل إذا كان أستاذًا مساعدًا ,عدد الرسائل التي يشرف عليها,الإشراف الأكاديمي
كم عدد الرسائل التي يمكن للمشرف عليها في وقت واحد إذا كان أستاذًا مساعدًا؟,يمكن للمشرف الأستاذ المساعد الإشراف على 3 رسائل فقط في وقت واحد ,الإشراف من أستاذ مساعد,الإشراف الأكاديمي
كم عدد الساعات التي يُسمح للطالب بدراستها في جامعة أخرى أثناء التسجيل في الجامعة الهاشمية؟,لا تزيد عن  5 ساعة معتمدة ,دراسة مواد، جامعة أخرى,الانتقال
كم عدد الساعات التي يمكن للطالب أن يسجلها في الفصل الصيفي؟,يمكن للطالب أن يسجل حتى    ساعة معتمدة في أي من الفصلين الصيفيين الأول أو الثاني ,الفصل الصيفي,تعليمات الدراسة
كم عدد الساعات المعتمدة التي يجب أن يدرسها الطالب في الجامعة الهاشمية للحصول على درجة البكالوريوس؟,يجب على الطالب أن يدرس ما لا يقل عن نصف الساعات المعتمدة المطلوبة لتخرجه في الجامعة ,الساعات المعتمدة، درجة البكالوريوس,تعليم
كم عدد الساعات المعتمدة التي يجب أن ينجزها الطالب في الجامعة إذا كان منتقلًا؟,لا تقل عن نصف مجموع الساعات المطلوبة للتخرج ,انتقال، ساعات معتمدة,التخرج
كم عدد الساعات المعتمدة التي يجب على الطالب اجتيازها للحصول على الماجستير؟,يجب على الطالب اجتياز جميع المواد المطلوبة حسب الخطة الدراسية المعتمدة لبرنامج الماجستير ,الساعات المعتمدة,التخرج والدرجات
كم عدد الساعات المعتمدة التي يسمح للطالب المفصول أكاديمياً بتسجيلها في الفصل الاستدراكي؟,يمكن للطالب المفصول أكاديمياً أن يسجل حتى  5 ساعة معتمدة في الفصل الاستدراكي ,الفصل الاستدراكي,تعليم
كم عدد الساعات المعتمدة التي يسمح للطالب بدراستها في جامعة أخرى أثناء دراسته في الجامعة الهاشمية؟,يسمح للطالب بدراسة ما لا يزيد على  5 ساعة معتمدة في جامعة أخرى ,ساعات معتمدة,تعليم
كم عدد الساعات المعتمدة التي يمكن أن يحتسبها الطالب المنتقل من جامعة أخرى؟,يمكن أن يحتسب للطالب المنتقل من جامعة أخرى ما لا يزيد عن 6 ساعات معتمدة، بشرط أن لا تكون قد حُسبت له في شهادة علمية أخرى وأن لا يكون قد مر على دراستها أكثر من 5 سنوات ,الساعات المعتمدة,التحويل
كم عدد الساعات المعتمدة التي يمكن أن يحسمها الطالب المنتقل من تخصص إلى آخر؟,يحسم فصل دراسي واحد من الحد الأعلى لسنوات التخرج مقابل كل  5 ساعة معتمدة تحتسب للطالب المنتقل ,حسم الساعات,تعليم
كم عدد الساعات المعتمدة التي يمكن للطالب دراستها في الفصل الصيفي؟,الحد الأقصى هو    ساعة معتمدة في الفصل الصيفي,الفصل الصيفي,النظام الأكاديمي
كم عدد الساعات المعتمدة التي يمكن للطالب معادلتها من شهادات جامعات أخرى؟,لا يجوز أن يزيد عدد الساعات المعتمدة التي يتم معادلتها عن 45 ساعة معتمدة ,معادلة الساعات المعتمدة,تعليم
كم عدد الساعات المعتمدة الحد الأدنى لدرجة البكالوريوس في تخصصات العلوم؟,الساعات المعتمدة هي  30 ساعة,الحد الأدنى للساعات المعتمدة,التخصصات الأكاديمية
كم عدد الساعات المعتمدة الحد الأدنى للحصول على درجة البكالوريوس؟,الحد الأدنى للحصول على درجة البكالوريوس هو ثلاث سنوات دراسية ,الساعات المعتمدة,تعليمات الدراسة
كم عدد الساعات المعتمدة المطلوبة في التخصصات الهندسية؟,الساعات المعتمدة المطلوبة هي  35 ساعة معتمدة,الساعات المعتمدة,التخصصات الأكاديمية
